model_id,n_samples,mean_flux,q05,q50,q95,p_grows,point_estimate_flux,point_in_ci95
GCF_000006725.1,50,20.789092,0.000000,27.354068,27.354068,0.7600,27.354068,1
GCF_000007465.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000007845.1,50,66.267149,55.606157,55.606157,77.848620,1.0000,55.606157,1
GCF_000008165.1,50,86.380918,76.024237,76.024237,97.745447,1.0000,76.024237,1
GCF_000008525.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000009905.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000009985.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000011305.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000014005.1,50,63.137641,61.550718,64.354125,64.375080,1.0000,64.354125,1
GCF_000014285.1,50,42.335161,0.000000,54.303026,54.303026,0.7800,54.303026,1
GCF_000014405.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000014425.1,50,29.577777,30.810185,30.810185,30.810185,0.9600,30.810185,1
GCF_000014965.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000015745.1,50,60.369762,54.303026,54.303026,69.902804,0.9800,54.303026,1
GCF_000016745.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000018865.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000020525.1,50,33.497996,0.000000,35.636166,35.636166,0.9400,35.636166,1
GCF_000020545.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000021045.1,50,87.063088,87.534719,87.534719,87.534719,1.0000,87.534719,1
GCF_000021805.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000022565.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000023745.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000024945.1,50,56.167519,48.426244,48.426244,68.288686,0.9800,48.426244,1
GCF_000025185.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000025265.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000025945.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000092365.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000143845.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000177635.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000179915.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000180175.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000183405.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000183745.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000194135.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000195855.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000196135.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000196355.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000227745.2,50,50.438653,0.000000,59.521633,71.320983,0.7800,59.521633,1
GCF_000233715.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000241025.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000253035.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000266885.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000270285.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000283635.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000284095.1,50,52.633257,53.707405,53.707405,53.707405,0.9800,53.707405,1
GCF_000284315.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000298115.2,50,31.888957,29.002842,31.325082,41.147421,1.0000,29.002842,1
GCF_000307165.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000507245.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000522545.2,50,73.193954,73.205192,73.205192,73.205192,1.0000,73.205192,1
GCF_000525675.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000599545.1,50,79.238218,73.160342,73.160342,91.988378,1.0000,73.160342,1
GCF_000599985.1,50,52.942259,42.319892,43.982724,63.479838,1.0000,43.982724,1
GCF_000632475.1,50,67.144292,59.521633,63.372790,73.184017,1.0000,63.372790,1
GCF_000725345.1,50,57.934005,48.426244,48.426244,68.315744,1.0000,48.426244,1
GCF_000746585.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000756615.1,50,42.324568,0.000000,54.303026,54.303026,0.7800,54.303026,1
GCF_000766665.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000953635.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000973725.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001020955.1,50,39.728466,0.000000,52.274298,52.274298,0.7600,52.274298,1
GCF_001021065.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001042635.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001262075.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001443605.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001610875.1,50,50.257828,0.000000,59.830747,59.830747,0.8400,59.830747,1
GCF_001659705.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001682195.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001688725.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001688905.2,50,78.752574,71.858476,77.285654,88.269667,0.9800,77.285654,1
GCF_001746835.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001880285.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_001888165.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002005425.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002021985.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002022605.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002127965.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002162355.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_002302395.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003073475.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003097575.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003143555.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003261295.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003261575.2,50,97.675947,97.745447,97.745447,97.745447,1.0000,97.745447,1
GCF_003441595.1,50,47.998425,0.000000,61.536442,61.536442,0.7800,61.536442,1
GCF_003660165.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_003966365.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_004114615.1,50,22.917980,0.000000,29.436151,29.436151,0.7800,29.436151,1
GCF_004299785.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_004551665.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_005221305.1,50,42.553555,0.000000,49.818511,61.370562,0.7800,49.818511,1
GCF_008118345.1,50,62.872000,62.872000,62.872000,62.872000,1.0000,62.872000,1
GCF_008805035.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_009649955.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_009662475.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_009688965.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_009688985.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_010669225.1,50,47.280737,46.106279,47.434910,47.434910,1.0000,47.434910,1
GCF_012222825.1,50,26.455688,0.000000,28.318851,43.735604,0.7600,28.318851,1
GCF_900186975.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
